Label,channeltitle,viewcount,Weighted Degree
Taylor Swift - The Fate of Ophelia (Official Music Video),Taylor Swift,139723522,718
Taylor Swift - The Life of a Showgirl (feat. Sabrina Carpenter) (Visualizer),Taylor Swift,11224489,1694
Taylor Swift | The End of an Era | Official Trailer | Disney+,Disney Plus,1084678,861
Taylor Swift - CANCELLED! (Lyric Video),Taylor Swift,7201724,1904
Taylor Swift - Actually Romantic (Visualizer),Taylor Swift,6748394,1892
Taylor Swift - Opalite (Visualizer),Taylor Swift,17261320,1754
Taylor Swift - Father Figure (Visualizer),Taylor Swift,7185661,2320
Taylor Swift - Elizabeth Taylor (Visualizer),Taylor Swift,8226993,2149
Taylor Swift - The Fate of Ophelia (Visualizer),Taylor Swift,14414332,1602
Taylor Swift - The Life of a Showgirl (Feat. Sabrina Carpenter) (Lyric Video),Taylor Swift,9275601,1901
Taylor Swift - CANCELLED! (Visualizer),Taylor Swift,6552248,1754
Taylor Swift - The Fate of Ophelia (Lyric Video),Taylor Swift,5233582,1191
Taylor Swift - Wi$h Li$t (Visualizer),Taylor Swift,7127175,2236
Taylor Swift - Opalite (Lyric Video),Taylor Swift,23104001,2030
Taylor Swift - Eldest Daughter (Visualizer),Taylor Swift,5413380,2141
Taylor Swift | #taylorswift #jimmyfallon #shorts #thefateofophelia #thelifeofashowgirl,Wondering Swiftie,9432614,95
Taylor Swift - Eldest Daughter (Lyric Video),Taylor Swift,6761892,2260
Taylor Swift - Wood (Visualizer),Taylor Swift,4851830,2234
Taylor Swift Talks Travis Kelce s Proposal  Addresses Selena Gomez  Ed Sheeran & Super Bowl Rumors,The Tonight Show Starring Jimmy Fallon,6078023,977
TAYLOR SWIFT - The Fate of Ophelia | full dance #dancecover,Ga Girardi,14346104,177
Taylor Swift - Actually Romantic,DanceHype,108547,33
Taylor Swift Breaks Down The Life of a Showgirl s  Wood    Father Figure  and  The Fate of Ophelia,The Tonight Show Starring Jimmy Fallon,3939196,718
Taylor Swift - Sourdough  Space  Stadiums  Scott Mills and The Life Of A Showgirl.,BBC Radio 2,528241,616
Taylor Swift – Opalite,Latin City,203241,2
Has Taylor Swift Lost The Plot? (exploiting her fans  feuding with charliXCX  and AI allegations) 🎶,Life According To Tessa,217968,186
Taylor Swift - Actually Romantic (Lyric Video),Taylor Swift,7036439,2090
Taylor Swift - Wood (Lyric Video),Taylor Swift,8910369,2052
Taylor Swift - Elizabeth Taylor (Lyrics),CountryHype,241377,23
taylor swift & art under capitalism,raya,464983,267
explaining why everyone hates Taylor Swift (again) if you’re employed and wanna know the tea,Amanda Todhunter,243755,109
The Literary Misunderstandings of Taylor Swift,Avery Talks About Stuff,61085,67
Father Figure: Taylor Swift’s Perspective! (Who said it’s a weak lyrical album??) #taylorswift,My Wonderland,2427008,261
Taylor Swift Gets to Be A Small Girl Next To Travis Kelce! #taylorswift #traviskelce,My Wonderland,1304174,92
Taylor Swift - Ruin The Friendship (Lyric Video),Taylor Swift,6392930,2387
Opalite Dance Trend ✨ #taylorswift,Taylor Swift Lore,3442383,115
Taylor Swift - The Life of a Showgirl | 50 mins of calm piano 🎹🧡,Relaxing Piano Covers,128151,15
Taylor Swift - Honey (Visualizer),Taylor Swift,4527094,2474
Taylor Swift | The Eras Tour | The End of an Era | Disney+,Disney Plus,536321,586
Taylor Swift - Eldest Daughter (Lyrics),Shooting Star,100034,5
Taylor Swift new song #taylorswift #swifties #ophelia #newsong#newupdate #taylornation#swiftie4ever,EM.SPARKS,3323883,63
Taylor Swift - Wood,RockHype,175754,5
EVERY EASTER EGG in Taylor Swift s The Fate of Ophelia Music Video...,Swiftly Explained,368618,168
Taylor Swift - Anti-Hero (Myan sub) #taylorswift #antihero #midnights,The Swift Life Myanmar,1261390,25
Taylor Swift - The Fate of Ophelia (The Chainsmokers Remix) (Visualizer),Taylor Swift,125180,1343
Taylor Swift - Elizabeth Taylor (Lyric Video),Taylor Swift,11657686,2111
