Label,viewcount,commentcount,Weighted Degree
Taylor Swift - Guilty as Sin (Official Lyric Video),50587590,4315,3007
Taylor Swift - So High School (Official Lyric Video),24948316,5454,2086
Taylor Swift - The Prophecy (Official Lyric Video),17750099,3166,2933
Taylor Swift - loml (Official Lyric Video),26621828,4148,2381
Taylor Swift - So Long  London (Official Lyric Video),24303105,4139,3295
Taylor Swift - Is It Over Now? (Taylor s Version) (From The Vault) (Lyric Video),32722607,8318,2897
Taylor Swift - Fortnight (feat. Post Malone),24837657,29245,1329
Taylor Swift - Down Bad (Official Lyric Video),34122864,4489,3324
Taylor Swift -  Slut!  (Taylor s Version) (From The Vault) (Lyric Video),16232853,5808,1992
Taylor Swift - Welcome To New York (Taylor s Version) (Lyric Video),23729220,8217,2170
Taylor Swift - But Daddy I Love Him (Official Lyric Video),24490040,4768,3211
Taylor Swift - New Romantics (Taylor s Version) (Lyric Video),11048074,5352,2680
Taylor Swift - My Boy Only Breaks His Favorite Toys (Official Lyric Video),25205626,3421,3333
Taylor Swift - I Can Do It With a Broken Heart (Official Lyric Video),34468091,7410,2302
Taylor Swift - How Did It End? (Official Lyric Video),10216958,2200,3341
Taylor Swift - Chloe or Sam or Sophia or Marcus (Official Lyric Video),6372680,1638,3141
Taylor Swift - Peter (Official Lyric Video),10588113,2941,3282
Taylor Swift - How You Get The Girl (Taylor s Version) (Lyric Video),8018477,2239,3959
Taylor Swift - Say Don t Go (Taylor s Version) (From The Vault) (Lyric Video),17266668,4666,3659
Taylor Swift - Fresh Out The Slammer (Official Lyric Video),12343499,2514,3462
Taylor Swift - The Alchemy (Official Lyric Video),17344105,2844,3278
Taylor Swift - All You Had To Do Was Stay (Taylor s Version) (Lyric Video),8966196,1840,3631
Taylor Swift - The Black Dog (Official Lyric Video),10799906,2862,3148
cardigan - taylor swift (tiktok version  slowed + reverb),2591214,1267,13
Taylor Swift - The Tortured Poets Department (Official Lyric Video),18128157,5457,3403
Taylor Swift - The Smallest Man Who Ever Lived (Official Lyric Video),18310735,3706,2402
Taylor Swift - Clean (Taylor s Version) (Lyric Video),14560921,4270,3358
Taylor Swift - Wonderland (Taylor s Version) (Lyric Video),6994847,2486,3542
Taylor Swift - The Bolter (Official Lyric Video),6952916,1579,3168
Taylor Swift - Fortnight (feat Post Malone) (Official Lyric Video),3872551,1004,1561
Taylor Swift - Bad Blood (Taylor s Version) (Lyric Video),12350833,5446,2380
Taylor Swift - Florida!!! (feat. Florence + The Machine) (Official Lyric Video),15087808,3662,2649
Cardigan - Taylor Swift ( TikTok Version // Best Part Loop) with Rain (slowed + reverb),7656911,2133,87
Taylor Swift - Shake It Off (Taylor s Version) (Lyric Video),24658531,5590,1964
Taylor Swift - You re Losing Me (From The Vault),33749484,21084,2298
Taylor Swift - Blank Space (Taylor s Version) (Lyric Video),24191754,7716,1955
Taylor Swift - imgonnagetyouback (Official Lyric Video),14202556,2717,3225
Taylor Swift - Who’s Afraid of Little Old Me? (Official Lyric Video),30593058,7366,2699
