Label,channeltitle,viewcount,Weighted Degree
Taylor Swift - The Fate of Ophelia (Official Music Video),Taylor Swift,139723522,718
Taylor Swift - Blank Space,Taylor Swift,,878
Taylor Swift - Shake It Off,Taylor Swift,,671
Taylor Swift - You Belong With Me,Taylor Swift,1719323601,966
Taylor Swift - Look What You Made Me Do,Taylor Swift,1553657966,1432
Taylor Swift - Delicate,Taylor Swift,589979704,1882
Taylor Swift - Anti-Hero (Official Music Video),Taylor Swift,233058674,1390
Taylor Swift - willow (Official Music Video),Taylor Swift,160779898,2435
Taylor Swift - Wildest Dreams,Taylor Swift,993477365,1499
Taylor Swift - Love Story,Taylor Swift,801748755,883
Taylor Swift - I Can Do It With A Broken Heart (Official Video),Taylor Swift,40213502,2052
Taylor Swift - You Need To Calm Down,Taylor Swift,376512369,1461
Taylor Swift - The Life of a Showgirl (feat. Sabrina Carpenter) (Visualizer),Taylor Swift,11224489,1694
Taylor Swift | The End of an Era | Official Trailer | Disney+,Disney Plus,1084678,861
Taylor Swift - Bad Blood ft. Kendrick Lamar,Taylor Swift,1672960286,815
Taylor Swift - Style,Taylor Swift,930740767,1478
Taylor Swift - Bejeweled (Official Music Video),Taylor Swift,99179386,2424
Taylor Swift – august (Official Lyric Video),Taylor Swift,129669600,1529
Taylor Swift - CANCELLED! (Lyric Video),Taylor Swift,7201724,1904
ZAYN  Taylor Swift - I Don’t Wanna Live Forever (Fifty Shades Darker),Taylor Swift,766378491,1136
Taylor Swift - Fortnight (feat. Post Malone) (Official Music Video),Taylor Swift,163861438,1628
Taylor Swift - Actually Romantic (Visualizer),Taylor Swift,6748394,1892
Taylor Swift - ME! (feat. Brendon Urie of Panic! At The Disco) ft. Brendon Urie,Taylor Swift,450150532,1563
Taylor Swift - Opalite (Visualizer),Taylor Swift,17261320,1754
Taylor Swift - Lover (Official Music Video),Taylor Swift,339397914,1802
Taylor Swift - 22,Taylor Swift,715938125,1237
Taylor Swift - Cruel Summer (Official Audio),Taylor Swift,269215642,1609
Taylor Swift - cardigan,Taylor Swift,214358953,1784
Taylor Swift - The Man (Official Video),Taylor Swift,112424168,1636
Taylor Swift - Back To December,Taylor Swift,372471466,1551
