Label,channeltitle,viewcount,Weighted Degree
Taylor Swift - Blank Space,Taylor Swift,,878
Taylor Swift - Shake It Off,Taylor Swift,,671
Taylor Swift - You Belong With Me,Taylor Swift,1719323601,966
Taylor Swift - Look What You Made Me Do,Taylor Swift,1553657966,1432
Taylor Swift - Delicate,Taylor Swift,589979704,1882
Taylor Swift - Anti-Hero (Official Music Video),Taylor Swift,233058674,1390
Taylor Swift - willow (Official Music Video),Taylor Swift,160779898,2435
Taylor Swift - Wildest Dreams,Taylor Swift,993477365,1499
Taylor Swift - Love Story,Taylor Swift,801748755,883
Taylor Swift - I Can Do It With A Broken Heart (Official Video),Taylor Swift,40213502,2052
Taylor Swift - You Need To Calm Down,Taylor Swift,376512369,1461
Taylor Swift - Bad Blood ft. Kendrick Lamar,Taylor Swift,1672960286,815
Taylor Swift - Style,Taylor Swift,930740767,1478
Taylor Swift - Bejeweled (Official Music Video),Taylor Swift,99179386,2424
ZAYN  Taylor Swift - I Don’t Wanna Live Forever (Fifty Shades Darker),Taylor Swift,766378491,1136
Taylor Swift - Fortnight (feat. Post Malone) (Official Music Video),Taylor Swift,163861438,1628
Taylor Swift - ME! (feat. Brendon Urie of Panic! At The Disco) ft. Brendon Urie,Taylor Swift,450150532,1563
Taylor Swift - Lover (Official Music Video),Taylor Swift,339397914,1802
Taylor Swift - 22,Taylor Swift,715938125,1237
Taylor Swift - Cruel Summer (Official Audio),Taylor Swift,269215642,1609
Taylor Swift - cardigan,Taylor Swift,214358953,1784
Taylor Swift - The Man (Official Video),Taylor Swift,112424168,1636
Taylor Swift - Back To December,Taylor Swift,372471466,1551
Taylor Swift- Shake It Off (Official Eras Tour Music Video),fqreverwniterৎ,5853755,467
Taylor Swift - Long Live (Taylor s Version) (Lyric Video),Taylor Swift,39525245,2749
Taylor Swift - The Fate of Ophelia,LatinHype,8404574,172
Taylor Swift - Lavender Haze (Official Music Video),Taylor Swift,77109420,2681
Taylor Swift - We Are Never Ever Getting Back Together,Taylor Swift,826694865,1567
Taylor Swift - …Ready For It?,Taylor Swift,380877194,1591
Taylor Swift ft. Chris Stapleton - I Bet You Think About Me (Taylor s Version) (Official Video),Taylor Swift,70616644,2343
Taylor Swift - I Knew You Were Trouble,Taylor Swift,537601867,1234
Taylor Swift – Blank Space (Lyrics),Latin City,777747,29
Taylor Swift - Enchanted,LatinHype,89297200,338
Taylor Swift - Look What You Made Me Do (Lyric Video),Taylor Swift,154176838,1246
Taylor Swift - Enchanted (Taylor s Version) (Lyric Video),Taylor Swift,83879402,2115
